PV,Hydropower
0.011739,-0.111676424
0.011739,-0.344438427
0.036087,-0.704161523
0.036087,-0.640680976
0.036087,-0.693581432
0.036087,-0.661841159
0.062435,-0.598360612
0.062435,-0.386758791
0.062435,-0.534880066
0.062435,-0.704161523
0.072435,-0.661841159
0.072435,-0.407918973
0.072435,-0.249217608
0.072435,-0.122256515
0.077043,-0.048195878
0.077043,-0.344438427
0.077043,-0.3761787
0.077043,-0.333858336
0.43335,-0.365598609
0.43335,-0.683001341
0.43335,-0.333858336
0.43335,-0.534880066
0.34139,-0.693581432
0.34139,-0.640680976
0.34139,-0.661841159
0.34139,-0.693581432
0.20513,-0.460819429
0.20513,-0.3761787
0.20513,-0.693581432
0.20513,-0.651261067
0.0002913,-0.661841159
0.0002913,-0.57720043
0.0002913,-0.291537972
0.0002913,-0.058775969
